IfcGUID,レベル,部屋: 名前,ファミリ,マーク,タイプ IfcGUID,照度,仕様 メーカー,仕様 商品名・銘柄・型番,仕様 規格・寸法,価格,交換日
0LuFMlas932Oj8jqSvsCZh,3FL,事務室,システム天井 照明,1408,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYK,3FL,事務室,システム天井 照明,1409,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYL,3FL,事務室,システム天井 照明,1410,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYM,3FL,事務室,システム天井 照明,1411,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYN,3FL,事務室,システム天井 照明,1412,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYG,3FL,事務室,システム天井 照明,1413,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYH,3FL,事務室,システム天井 照明,1414,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYI,3FL,事務室,システム天井 照明,1415,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYJ,3FL,事務室,システム天井 照明,1416,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYS,3FL,事務室,システム天井 照明,1417,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYT,3FL,事務室,システム天井 照明,1418,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYU,3FL,事務室,システム天井 照明,1419,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYV,3FL,事務室,システム天井 照明,1420,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYO,3FL,事務室,システム天井 照明,1421,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
